YEAR,JURISDICTION,AGE_GROUP,Sum(FINES),Sum(ARRESTS),Sum(CHARGES),Licence Holders
2024,NSW,26-39,62707,0,498,804213.5
2024,NSW,40-64,62799,0,262,1549921
2024,NSW,65 and over,13071,0,9,
2024,NT,0-16,59,5,10,2082.25
2024,NT,17-25,6042,8,81,23831.15
2024,NT,26-39,15904,13,95,52683.6
2024,NT,40-64,20023,15,88,63680.5
2024,NT,65 and over,4350,0,18,21138.5
2024,QLD,0-16,18147,0,0,60641.5
2024,QLD,17-25,121629,0,0,564851.5
2024,QLD,26-39,237465,0,0,1013391
2024,QLD,40-64,330434,0,0,1668204
2024,QLD,65 and over,84968,0,0,847864
2024,SA,0-16,37,2,3,17773
2024,SA,17-25,22830,24,97,173253.4
2024,SA,26-39,50588,39,123,325153.6
2024,SA,40-64,79759,28,114,534305
2024,SA,65 and over,27441,0,8,312063
2024,TAS,0-16,8,0,7,5641.75
2024,TAS,17-25,10397,0,123,51279.05
2024,TAS,26-39,22615,0,157,98808.2
2024,TAS,40-64,30484,0,108,164834.5
2024,TAS,65 and over,11468,0,3,109301.5
2024,VIC,0-16,31,0,0,63983
2024,VIC,17-25,76099,0,0,679600.8
2024,VIC,26-39,226307,0,0,1434223.2
2024,VIC,40-64,350286,0,0,2053555
2024,VIC,65 and over,105907,0,0,1029046
2024,WA,0-16,1153,0,10,29886.25
2024,WA,17-25,57592,3,343,292292.35
2024,WA,26-39,144596,16,623,576363.4
2024,WA,40-64,215275,4,651,873442.5
2024,WA,65 and over,54217,0,58,422831.5
