Jurisdiction,Year,Age_Group,Licence_Holders
NT,2014,65+,13876.0
NT,2015,0-16,1609.5
NT,2015,17-25,22341.9
NT,2015,26-39,50025.6
NT,2015,40-64,63906.5
NT,2015,65+,14384.5
NT,2016,0-16,1655.5
NT,2016,17-25,22382.7
NT,2016,26-39,51028.8
NT,2016,40-64,64344.0
NT,2016,65+,14994.0
NT,2017,0-16,1720.0
NT,2017,17-25,22642.6
NT,2017,26-39,51794.4
NT,2017,40-64,64485.5
NT,2017,65+,15701.5
NT,2018,0-16,1753.75
NT,2018,17-25,22521.05
NT,2018,26-39,51846.2
NT,2018,40-64,64590.5
NT,2018,65+,16584.5
NT,2019,0-16,1720.0
NT,2019,17-25,22642.6
NT,2019,26-39,51794.4
NT,2019,40-64,64485.5
NT,2019,65+,15701.5
NT,2020,0-16,1716.5
NT,2020,17-25,21613.1
NT,2020,26-39,52027.4
NT,2020,40-64,63965.0
NT,2020,65+,18509.0
NT,2021,0-16,1725.0
NT,2021,17-25,21660.4
NT,2021,26-39,52318.6
NT,2021,40-64,64056.0
NT,2021,65+,19448.0
NT,2022,0-16,1711.5
NT,2022,17-25,21266.9
NT,2022,26-39,51973.6
NT,2022,40-64,63823.5
NT,2022,65+,20287.5
NT,2023,0-16,2019.5
NT,2023,17-25,23120.5
NT,2023,26-39,52578.0
NT,2023,40-64,63381.0
NT,2023,65+,20262.0
NT,2024,0-16,2082.25
NT,2024,17-25,23831.15
NT,2024,26-39,52683.6
NT,2024,40-64,63680.5
NT,2024,65+,21138.5
QLD,2010,0-16,47497.0
QLD,2010,17-25,468167.8
QLD,2010,26-39,826984.2
QLD,2010,40-64,1334875.0
QLD,2010,65+,454817.0
QLD,2011,0-16,48326.75
QLD,2011,17-25,480926.45
QLD,2011,26-39,848967.8
QLD,2011,40-64,1381913.0
QLD,2011,65+,480805.0
QLD,2012,0-16,47795.75
QLD,2012,17-25,479616.85
QLD,2012,26-39,849959.4
QLD,2012,40-64,1414670.5
QLD,2012,65+,508961.5
QLD,2013,0-16,48192.0
QLD,2013,17-25,487185.4
QLD,2013,26-39,862304.6
QLD,2013,40-64,1444815.5
QLD,2013,65+,532326.5
QLD,2014,0-16,48161.75
QLD,2014,17-25,483947.65
QLD,2014,26-39,850795.6
QLD,2014,40-64,1448593.5
QLD,2014,65+,552772.5
QLD,2015,0-16,48486.5
QLD,2015,17-25,487448.9
QLD,2015,26-39,858255.6
QLD,2015,40-64,1465342.5
QLD,2015,65+,572636.5
QLD,2016,0-16,49167.0
QLD,2016,17-25,493732.0
QLD,2016,26-39,876885.0
QLD,2016,40-64,1486705.0
QLD,2016,65+,599217.0
QLD,2017,0-16,49871.75
QLD,2017,17-25,500106.65
QLD,2017,26-39,895280.6
QLD,2017,40-64,1503863.0
QLD,2017,65+,631714.0
QLD,2018,0-16,52157.5
QLD,2018,17-25,510873.1
QLD,2018,26-39,912062.4
QLD,2018,40-64,1520782.5
QLD,2018,65+,661767.5
QLD,2019,0-16,51210.75
QLD,2019,17-25,509031.45
QLD,2019,26-39,928768.8
QLD,2019,40-64,1537988.0
QLD,2019,65+,692767.0
QLD,2020,0-16,52195.5
QLD,2020,17-25,518006.1
QLD,2020,26-39,951895.4
QLD,2020,40-64,1562850.0
QLD,2020,65+,721450.0
QLD,2021,0-16,53586.25
QLD,2021,17-25,527794.15
QLD,2021,26-39,967462.6
QLD,2021,40-64,1585265.5
QLD,2021,65+,754877.5
QLD,2022,0-16,54998.75
QLD,2022,17-25,535779.05
QLD,2022,26-39,980867.2
QLD,2022,40-64,1612913.5
QLD,2022,65+,788579.5
QLD,2023,0-16,57589.25
QLD,2023,17-25,547156.55
QLD,2023,26-39,990875.2
QLD,2023,40-64,1637359.0
QLD,2023,65+,818744.0
QLD,2024,0-16,60641.5
QLD,2024,17-25,564851.5
QLD,2024,26-39,1013391.0
QLD,2024,40-64,1668204.0
QLD,2024,65+,847864.0
SA,2010,0-16,16728.75
SA,2010,17-25,159150.05
SA,2010,26-39,268588.2
SA,2010,40-64,496782.0
SA,2010,65+,189671.0
SA,2011,0-16,16665.0
SA,2011,17-25,160441.0
SA,2011,26-39,268619.0
SA,2011,40-64,500774.5
SA,2011,65+,192213.5
SA,2012,0-16,16383.5
SA,2012,17-25,160190.1
SA,2012,26-39,269891.4
SA,2012,40-64,506171.5
SA,2012,65+,199184.5
SA,2013,0-16,16336.5
SA,2013,17-25,162802.1
SA,2013,26-39,274930.4
SA,2013,40-64,516345.0
SA,2013,65+,212878.0
SA,2014,0-16,16175.5
SA,2014,17-25,162627.7
SA,2014,26-39,277082.8
SA,2014,40-64,519986.0
SA,2014,65+,220682.0
SA,2015,0-16,15875.25
SA,2015,17-25,161768.55
SA,2015,26-39,278505.2
SA,2015,40-64,520841.0
SA,2015,65+,229204.0
SA,2016,0-16,15970.0
SA,2016,17-25,162188.0
SA,2016,26-39,281961.0
SA,2016,40-64,521565.5
SA,2016,65+,247482.5
SA,2017,0-16,15770.25
SA,2017,17-25,161887.35
SA,2017,26-39,285647.4
SA,2017,40-64,520884.5
SA,2017,65+,247916.5
SA,2018,0-16,15889.5
SA,2018,17-25,162518.9
SA,2018,26-39,289514.6
SA,2018,40-64,520573.5
SA,2018,65+,257518.5
SA,2019,0-16,15620.0
SA,2019,17-25,162223.0
SA,2019,26-39,293608.0
SA,2019,40-64,519874.0
SA,2019,65+,266891.0
SA,2020,0-16,15214.0
SA,2020,17-25,160936.0
SA,2020,26-39,298398.0
SA,2020,40-64,520443.0
SA,2020,65+,276957.0
SA,2021,0-16,15986.75
SA,2021,17-25,164570.25
SA,2021,26-39,305374.0
SA,2021,40-64,522010.5
SA,2021,65+,286537.5
SA,2022,0-16,16655.0
SA,2022,17-25,168555.4
SA,2022,26-39,317195.6
SA,2022,40-64,527738.0
SA,2022,65+,298995.0
SA,2023,0-16,17072.5
SA,2023,17-25,170104.1
SA,2023,26-39,320033.4
SA,2023,40-64,529484.5
SA,2023,65+,303365.5
SA,2024,0-16,17773.0
SA,2024,17-25,173253.4
SA,2024,26-39,325153.6
SA,2024,40-64,534305.0
SA,2024,65+,312063.0
TAS,2010,0-16,5475.25
TAS,2010,17-25,50488.55
TAS,2010,26-39,79901.2
TAS,2010,40-64,163021.0
TAS,2010,65+,64405.0
TAS,2011,0-16,5386.75
TAS,2011,17-25,50240.05
TAS,2011,26-39,79307.2
TAS,2011,40-64,165392.5
TAS,2011,65+,66969.5
TAS,2012,0-16,5284.75
TAS,2012,17-25,48928.85
TAS,2012,26-39,76650.4
TAS,2012,40-64,164975.5
TAS,2012,65+,69519.5
TAS,2013,0-16,5173.75
TAS,2013,17-25,48094.05
TAS,2013,26-39,75405.2
TAS,2013,40-64,164583.0
TAS,2013,65+,72039.0
TAS,2014,0-16,5088.0
TAS,2014,17-25,47457.4
TAS,2014,26-39,74441.6
TAS,2014,40-64,164325.5
TAS,2014,65+,74918.5
TAS,2015,0-16,5090.25
TAS,2015,17-25,47707.55
TAS,2015,26-39,74528.2
TAS,2015,40-64,164541.0
TAS,2015,65+,78429.0
TAS,2016,0-16,5144.0
TAS,2016,17-25,48379.4
TAS,2016,26-39,76578.6
TAS,2016,40-64,166078.5
TAS,2016,65+,83124.5
TAS,2017,0-16,5109.25
TAS,2017,17-25,48120.15
TAS,2017,26-39,76718.6
TAS,2017,40-64,164087.5
TAS,2017,65+,86179.5
TAS,2018,0-16,5142.75
TAS,2018,17-25,48740.45
TAS,2018,26-39,79866.8
TAS,2018,40-64,164354.5
TAS,2018,65+,89668.5
TAS,2019,0-16,5007.5
TAS,2019,17-25,49525.7
TAS,2019,26-39,84880.8
TAS,2019,40-64,165439.0
TAS,2019,65+,93599.0
TAS,2020,0-16,4911.25
TAS,2020,17-25,49627.75
TAS,2020,26-39,89315.0
TAS,2020,40-64,165129.0
TAS,2020,65+,97454.0
TAS,2021,0-16,4982.0
TAS,2021,17-25,50818.6
TAS,2021,26-39,94616.4
TAS,2021,40-64,164977.5
TAS,2021,65+,100868.5
TAS,2022,0-16,5163.25
TAS,2022,17-25,51541.35
TAS,2022,26-39,98165.4
TAS,2022,40-64,164961.0
TAS,2022,65+,103845.0
TAS,2023,0-16,5383.5
TAS,2023,17-25,51005.9
TAS,2023,26-39,98700.6
TAS,2023,40-64,164821.0
TAS,2023,65+,106617.0
TAS,2024,0-16,5641.75
TAS,2024,17-25,51279.05
TAS,2024,26-39,98808.2
TAS,2024,40-64,164834.5
TAS,2024,65+,109301.5
VIC,2010,0-16,55646.0
VIC,2010,17-25,585175.2
VIC,2010,26-39,1071325.8
VIC,2010,40-64,1653717.0
VIC,2010,65+,612458.0
VIC,2011,0-16,55706.0
VIC,2011,17-25,593238.6
VIC,2011,26-39,1082511.4
VIC,2011,40-64,1690982.0
VIC,2011,65+,638144.0
VIC,2012,0-16,55010.0
VIC,2012,17-25,596353.6
VIC,2012,26-39,1099414.4
VIC,2012,40-64,1727206.0
VIC,2012,65+,657741.0
VIC,2013,0-16,54649.5
VIC,2013,17-25,597203.7
VIC,2013,26-39,1128215.8
VIC,2013,40-64,1766657.0
VIC,2013,65+,681504.0
VIC,2014,0-16,54405.5
VIC,2014,17-25,601265.5
VIC,2014,26-39,1153036.0
VIC,2014,40-64,1796623.5
VIC,2014,65+,705356.5
VIC,2015,0-16,54281.75
VIC,2015,17-25,605162.85
VIC,2015,26-39,1179865.4
VIC,2015,40-64,1822347.5
VIC,2015,65+,722951.5
VIC,2016,0-16,54541.5
VIC,2016,17-25,609275.5
VIC,2016,26-39,1210376.0
VIC,2016,40-64,1848691.0
VIC,2016,65+,751618.0
VIC,2017,0-16,54301.75
VIC,2017,17-25,612791.65
VIC,2017,26-39,1239136.6
VIC,2017,40-64,1870173.0
VIC,2017,65+,789192.0
VIC,2018,0-16,55681.25
VIC,2018,17-25,619944.95
VIC,2018,26-39,1273087.8
VIC,2018,40-64,1893599.0
VIC,2018,65+,823451.0
